name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 3082 b,54,8.2 Earths,11.041,2020
GJ 3138 b,93,1.78 Earths,10.8275,2017
GJ 3138 c,93,4.18 Earths,10.8275,2017
GJ 3138 d,93,10.5 Earths,10.8275,2017
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 3082 b,54,8.2 Earths,11.041,2020
GJ 3138 b,93,1.78 Earths,10.8275,2017
GJ 3138 c,93,4.18 Earths,10.8275,2017
GJ 3138 d,93,10.5 Earths,10.8275,2017
GJ 317 b,50,2.5 Jupiters,12.4,2007
GJ 317 c,50,1.64396 Jupiters,12.4,2018
GJ 328 b,67,2.3 Jupiters,9.99,2013
GJ 3293 b,66,23.54 Earths,11.945,2015
GJ 3293 c,66,21.09 Earths,11.945,2015
GJ 3293 d,66,7.6 Earths,11.945,2017
GJ 3293 e,66,3.28 Earths,11.945,2017
GJ 3323 b,18,2.02 Earths,12.57,2017
GJ 3323 c,18,2.31 Earths,12.57,2017
GJ 3341 b,77,6.6 Earths,12.062,2015
GJ 338 B b,21,10.27 Earths,7.7,2020
GJ 3470 b,96,13.9 Earths,12.332,2012
GJ 3473 b,89,1.86 Earths,13.74,2020
GJ 3473 c,89,7.41 Earths,13.74,2020
GJ 3512 b,31,0.463 Jupiters,15.18,2019
GJ 357 b,31,1.84 Earths,10.91,2019
GJ 357 c,31,3.4 Earths,10.91,2019
GJ 357 d,31,6.1 Earths,10.91,2019
GJ 3634 b,66,8.4 Earths,11.938,2010
GJ 3779 b,45,8 Earths,13.04,2018
GJ 338 B b,21,10.27 Earths,7.7,2020
GJ 3470 b,96,13.9 Earths,12.332,2012
GJ 3473 b,89,1.86 Earths,13.74,2020
GJ 3473 c,89,7.41 Earths,13.74,2020
GJ 3512 b,31,0.463 Jupiters,15.18,2019
GJ 357 b,31,1.84 Earths,10.91,2019
GJ 357 c,31,3.4 Earths,10.91,2019
GJ 357 d,31,6.1 Earths,10.91,2019
GJ 3634 b,66,8.4 Earths,11.938,2010
GJ 3779 b,45,8 Earths,13.04,2018
GJ 338 B b,21,10.27 Earths,7.7,2020
GJ 3470 b,96,13.9 Earths,12.332,2012
GJ 3473 b,89,1.86 Earths,13.74,2020
GJ 3473 c,89,7.41 Earths,13.74,2020
GJ 3512 b,31,0.463 Jupiters,15.18,2019
GJ 357 b,31,1.84 Earths,10.91,2019
GJ 357 c,31,3.4 Earths,10.91,2019
GJ 357 d,31,6.1 Earths,10.91,2019
GJ 3634 b,66,8.4 Earths,11.938,2010
GJ 3779 b,45,8 Earths,13.04,2018
GJ 338 B b,21,10.27 Earths,7.7,2020
GJ 3470 b,96,13.9 Earths,12.332,2012
GJ 3473 b,89,1.86 Earths,13.74,2020
GJ 3473 c,89,7.41 Earths,13.74,2020
GJ 3512 b,31,0.463 Jupiters,15.18,2019
GJ 357 b,31,1.84 Earths,10.91,2019
GJ 357 c,31,3.4 Earths,10.91,2019
GJ 357 d,31,6.1 Earths,10.91,2019
GJ 3634 b,66,8.4 Earths,11.938,2010
GJ 3779 b,45,8 Earths,13.04,2018
GJ 393 b,23,1.71 Earths,9.65,2021
GJ 3942 b,55,7.14 Earths,10.166,2017
GJ 3998 b,59,2.47 Earths,10.844,2016
GJ 3998 c,59,6.26 Earths,10.844,2016
GJ 411 b,19,2.69 Earths,7.49,2019
GJ 414 A b,39,7.6 Earths,8.31,2021
GJ 414 A c,39,0.16937 Jupiters,8.31,2021
GJ 422 b,41,11.07 Earths,11.66,2014
GJ 4276 b,70,16.57 Earths,12.903,2019
GJ 433 b,30,6.043 Earths,9.81,2011
GJ 393 b,23,1.71 Earths,9.65,2021
GJ 3942 b,55,7.14 Earths,10.166,2017
GJ 3998 b,59,2.47 Earths,10.844,2016
GJ 3998 c,59,6.26 Earths,10.844,2016
GJ 411 b,19,2.69 Earths,7.49,2019
GJ 414 A b,39,7.6 Earths,8.31,2021
GJ 414 A c,39,0.16937 Jupiters,8.31,2021
GJ 422 b,41,11.07 Earths,11.66,2014
GJ 4276 b,70,16.57 Earths,12.903,2019
GJ 433 b,30,6.043 Earths,9.81,2011
GJ 433 c,30,32.422 Earths,9.81,2014
GJ 433 d,30,5.223 Earths,9.81,2020
GJ 436 b,32,22.1 Earths,10.67,2004
GJ 480 b,46,13.2 Earths,11.49,2020
GJ 486 b,26,2.82 Earths,11.39,2021
GJ 504 b,57,4 Jupiters,5.18799,2013
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 433 c,30,32.422 Earths,9.81,2014
GJ 433 d,30,5.223 Earths,9.81,2020
GJ 436 b,32,22.1 Earths,10.67,2004
GJ 480 b,46,13.2 Earths,11.49,2020
GJ 486 b,26,2.82 Earths,11.39,2021
GJ 504 b,57,4 Jupiters,5.18799,2013
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 433 c,30,32.422 Earths,9.81,2014
GJ 433 d,30,5.223 Earths,9.81,2020
GJ 436 b,32,22.1 Earths,10.67,2004
GJ 480 b,46,13.2 Earths,11.49,2020
GJ 486 b,26,2.82 Earths,11.39,2021
GJ 504 b,57,4 Jupiters,5.18799,2013
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 433 c,30,32.422 Earths,9.81,2014
GJ 433 d,30,5.223 Earths,9.81,2020
GJ 436 b,32,22.1 Earths,10.67,2004
GJ 480 b,46,13.2 Earths,11.49,2020
GJ 486 b,26,2.82 Earths,11.39,2021
GJ 504 b,57,4 Jupiters,5.18799,2013
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 625 b,21,2.82 Earths,10.066,2017
GJ 649 b,34,0.328 Jupiters,9.7,2009
GJ 667 C b,24,5.6 Earths,10.602,2011
GJ 667 C c,24,3.8 Earths,10.602,2011
GJ 667 C e,24,2.7 Earths,10.602,2013
GJ 667 C f,24,2.7 Earths,10.602,2013
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 625 b,21,2.82 Earths,10.066,2017
GJ 649 b,34,0.328 Jupiters,9.7,2009
GJ 667 C b,24,5.6 Earths,10.602,2011
GJ 667 C c,24,3.8 Earths,10.602,2011
GJ 667 C e,24,2.7 Earths,10.602,2013
GJ 667 C f,24,2.7 Earths,10.602,2013
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 687 c,15,16 Earths,9.15,2020
GJ 720 A b,51,13.64 Earths,9.84,2021
GJ 740 b,36,2.96 Earths,9.22,2021
GJ 832 b,16,0.68 Jupiters,8.66,2008
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 687 c,15,16 Earths,9.15,2020
GJ 720 A b,51,13.64 Earths,9.84,2021
GJ 740 b,36,2.96 Earths,9.22,2021
GJ 832 b,16,0.68 Jupiters,8.66,2008
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 687 c,15,16 Earths,9.15,2020
GJ 720 A b,51,13.64 Earths,9.84,2021
GJ 740 b,36,2.96 Earths,9.22,2021
GJ 832 b,16,0.68 Jupiters,8.66,2008
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 687 c,15,16 Earths,9.15,2020
GJ 720 A b,51,13.64 Earths,9.84,2021
GJ 740 b,36,2.96 Earths,9.22,2021
GJ 832 b,16,0.68 Jupiters,8.66,2008
GJ 832 c,16,5.4 Earths,8.66,2014
GJ 849 b,29,0.9 Jupiters,10.41,2006
GJ 849 c,29,0.702 Jupiters,10.41,2014
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.16,1998
GJ 876 c,15,0.7142 Jupiters,10.16,2000
GJ 876 d,15,6.83 Earths,10.16,2005
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 887 b,11,4.2 Earths,7.56,2020
GJ 887 c,11,7.6 Earths,7.56,2020
GJ 832 c,16,5.4 Earths,8.66,2014
GJ 849 b,29,0.9 Jupiters,10.41,2006
GJ 849 c,29,0.702 Jupiters,10.41,2014
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.16,1998
GJ 876 c,15,0.7142 Jupiters,10.16,2000
GJ 876 d,15,6.83 Earths,10.16,2005
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 887 b,11,4.2 Earths,7.56,2020
GJ 887 c,11,7.6 Earths,7.56,2020
GJ 9066 b,15,30.9 Earths,12.71,2020
GJ 9066 c,15,0.22528 Jupiters,12.71,2020
GJ 96 b,39,19.66 Earths,9.4,2018
GJ 9827 b,97,4.91 Earths,10.37,2017
GJ 9827 c,97,0.84 Earths,10.37,2017
GJ 9827 d,97,4.04 Earths,10.37,2017
Gl 378 b,49,13.02 Earths,10.03,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.62,2018
GQ Lupi b,493,20 Jupiters,11.593,2004
GSC 06214-00210 b,354,16 Jupiters,12.416,2010
GU Piscium b,155,11.3 Jupiters,14.146,2014
HAT-P-11 b,123,26.69772 Earths,9.46,2008
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
GSC 06214-00210 b,354,16 Jupiters,12.416,2010
GU Piscium b,155,11.3 Jupiters,14.146,2014
HAT-P-11 b,123,26.69772 Earths,9.46,2008
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
GSC 06214-00210 b,354,16 Jupiters,12.416,2010
GU Piscium b,155,11.3 Jupiters,14.146,2014
HAT-P-11 b,123,26.69772 Earths,9.46,2008
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
GSC 06214-00210 b,354,16 Jupiters,12.416,2010
GU Piscium b,155,11.3 Jupiters,14.146,2014
HAT-P-11 b,123,26.69772 Earths,9.46,2008
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
HAT-P-1 b,519,0.525 Jupiters,9.827,2006
HAT-P-20 b,232,7.246 Jupiters,11.231,2010
HAT-P-21 b,904,4.87 Jupiters,11.459,2010
HAT-P-22 b,267,2.47 Jupiters,9.763,2010
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
HAT-P-1 b,519,0.525 Jupiters,9.827,2006
HAT-P-20 b,232,7.246 Jupiters,11.231,2010
HAT-P-21 b,904,4.87 Jupiters,11.459,2010
HAT-P-22 b,267,2.47 Jupiters,9.763,2010
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
HAT-P-1 b,519,0.525 Jupiters,9.827,2006
HAT-P-20 b,232,7.246 Jupiters,11.231,2010
HAT-P-21 b,904,4.87 Jupiters,11.459,2010
HAT-P-22 b,267,2.47 Jupiters,9.763,2010
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-28 b,1309,0.626 Jupiters,13.098,2011
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011
HAT-P-32 b,943,0.68 Jupiters,11.439,2011
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
HAT-P-43 b,1725,0.662 Jupiters,13.279,2012
HAT-P-44 b,1135,0.352 Jupiters,13.225,2014
HAT-P-44 c,1135,4 Jupiters,13.225,2014
HAT-P-45 b,974,0.892 Jupiters,12.783,2014
HAT-P-46 b,948,0.493 Jupiters,11.997,2014
HAT-P-49 b,1143,2.2 Jupiters,10.205,2014
HAT-P-4 b,1045,0.671 Jupiters,11.118,2007
HAT-P-50 b,1681,1.35 Jupiters,11.703,2015
HAT-P-51 b,1436,0.309 Jupiters,13.51,2015
HAT-P-52 b,1178,0.818 Jupiters,14.107,2015
HAT-P-43 b,1725,0.662 Jupiters,13.279,2012
HAT-P-44 b,1135,0.352 Jupiters,13.225,2014
HAT-P-44 c,1135,4 Jupiters,13.225,2014
HAT-P-45 b,974,0.892 Jupiters,12.783,2014
HAT-P-46 b,948,0.493 Jupiters,11.997,2014
HAT-P-49 b,1143,2.2 Jupiters,10.205,2014
HAT-P-4 b,1045,0.671 Jupiters,11.118,2007
HAT-P-50 b,1681,1.35 Jupiters,11.703,2015
HAT-P-51 b,1436,0.309 Jupiters,13.51,2015
HAT-P-52 b,1178,0.818 Jupiters,14.107,2015
HAT-P-43 b,1725,0.662 Jupiters,13.279,2012
HAT-P-44 b,1135,0.352 Jupiters,13.225,2014
HAT-P-44 c,1135,4 Jupiters,13.225,2014
HAT-P-45 b,974,0.892 Jupiters,12.783,2014
HAT-P-46 b,948,0.493 Jupiters,11.997,2014
HAT-P-49 b,1143,2.2 Jupiters,10.205,2014
HAT-P-4 b,1045,0.671 Jupiters,11.118,2007
HAT-P-50 b,1681,1.35 Jupiters,11.703,2015
HAT-P-51 b,1436,0.309 Jupiters,13.51,2015
HAT-P-52 b,1178,0.818 Jupiters,14.107,2015
HAT-P-43 b,1725,0.662 Jupiters,13.279,2012
HAT-P-44 b,1135,0.352 Jupiters,13.225,2014
HAT-P-44 c,1135,4 Jupiters,13.225,2014
HAT-P-45 b,974,0.892 Jupiters,12.783,2014
HAT-P-46 b,948,0.493 Jupiters,11.997,2014
HAT-P-49 b,1143,2.2 Jupiters,10.205,2014
HAT-P-4 b,1045,0.671 Jupiters,11.118,2007
HAT-P-50 b,1681,1.35 Jupiters,11.703,2015
HAT-P-51 b,1436,0.309 Jupiters,13.51,2015
HAT-P-52 b,1178,0.818 Jupiters,14.107,2015
HAT-P-53 b,2175,1.484 Jupiters,13.78,2015
HAT-P-54 b,469,0.76 Jupiters,13.398,2015
HAT-P-55 b,1668,0.582 Jupiters,13.197,2015
HAT-P-56 b,1046,2.31 Jupiters,10.92,2015
HAT-P-57 b,913,1.41 Jupiters,10.639,2015
HAT-P-5 b,989,0.98 Jupiters,11.954,2007
HAT-P-65 b,2409,0.527 Jupiters,13.121,2016
HAT-P-66 b,3051,0.783 Jupiters,13.014,2016
HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
HAT-P-6 b,898,1.32 Jupiters,10.469,2007
HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
HAT-P-8 b,690,1.28 Jupiters,10.358,2008
HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
HATS-10 b,1745,0.526 Jupiters,13.202,2015
HATS-11 b,3081,0.83 Jupiters,14.06,2016
HATS-12 b,2434,2.39 Jupiters,12.831,2016
HATS-13 b,1376,0.543 Jupiters,13.911,2015
HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
HAT-P-6 b,898,1.32 Jupiters,10.469,2007
HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
HAT-P-8 b,690,1.28 Jupiters,10.358,2008
HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
HATS-10 b,1745,0.526 Jupiters,13.202,2015
HATS-11 b,3081,0.83 Jupiters,14.06,2016
HATS-12 b,2434,2.39 Jupiters,12.831,2016
HATS-13 b,1376,0.543 Jupiters,13.911,2015
HATS-26 b,2811,0.65 Jupiters,13.006,2016
HATS-27 b,2665,0.53 Jupiters,12.782,2016
HATS-28 b,1746,0.672 Jupiters,13.981,2016
HATS-29 b,1154,0.653 Jupiters,12.62,2016
HATS-2 b,1115,1.345 Jupiters,13.565,2013
HATS-30 b,1116,0.706 Jupiters,12.283,2016
HATS-31 b,2525,0.88 Jupiters,13.315,2016
HATS-32 b,2431,0.92 Jupiters,14.386,2016
HATS-33 b,810,1.192 Jupiters,11.91,2016
HATS-34 b,1660,0.941 Jupiters,13.857,2016
HATS-26 b,2811,0.65 Jupiters,13.006,2016
HATS-27 b,2665,0.53 Jupiters,12.782,2016
HATS-28 b,1746,0.672 Jupiters,13.981,2016
HATS-29 b,1154,0.653 Jupiters,12.62,2016
HATS-2 b,1115,1.345 Jupiters,13.565,2013
HATS-30 b,1116,0.706 Jupiters,12.283,2016
HATS-31 b,2525,0.88 Jupiters,13.315,2016
HATS-32 b,2431,0.92 Jupiters,14.386,2016
HATS-33 b,810,1.192 Jupiters,11.91,2016
HATS-34 b,1660,0.941 Jupiters,13.857,2016
HATS-26 b,2811,0.65 Jupiters,13.006,2016
HATS-27 b,2665,0.53 Jupiters,12.782,2016
HATS-28 b,1746,0.672 Jupiters,13.981,2016
HATS-29 b,1154,0.653 Jupiters,12.62,2016
HATS-2 b,1115,1.345 Jupiters,13.565,2013
HATS-30 b,1116,0.706 Jupiters,12.283,2016
HATS-31 b,2525,0.88 Jupiters,13.315,2016
HATS-32 b,2431,0.92 Jupiters,14.386,2016
HATS-33 b,810,1.192 Jupiters,11.91,2016
HATS-34 b,1660,0.941 Jupiters,13.857,2016
HATS-26 b,2811,0.65 Jupiters,13.006,2016
HATS-27 b,2665,0.53 Jupiters,12.782,2016
HATS-28 b,1746,0.672 Jupiters,13.981,2016
HATS-29 b,1154,0.653 Jupiters,12.62,2016
HATS-2 b,1115,1.345 Jupiters,13.565,2013
HATS-30 b,1116,0.706 Jupiters,12.283,2016
HATS-31 b,2525,0.88 Jupiters,13.315,2016
HATS-32 b,2431,0.92 Jupiters,14.386,2016
HATS-33 b,810,1.192 Jupiters,11.91,2016
HATS-34 b,1660,0.941 Jupiters,13.857,2016
HATS-26 b,2811,0.65 Jupiters,13.006,2016
HATS-27 b,2665,0.53 Jupiters,12.782,2016
HATS-28 b,1746,0.672 Jupiters,13.981,2016
HATS-29 b,1154,0.653 Jupiters,12.62,2016
HATS-2 b,1115,1.345 Jupiters,13.565,2013
HATS-30 b,1116,0.706 Jupiters,12.283,2016
HATS-31 b,2525,0.88 Jupiters,13.315,2016
HATS-32 b,2431,0.92 Jupiters,14.386,2016
HATS-33 b,810,1.192 Jupiters,11.91,2016
HATS-34 b,1660,0.941 Jupiters,13.857,2016
HATS-35 b,1678,1.222 Jupiters,12.609,2016
HATS-36 b,2794,3.216 Jupiters,14.364,2018
HATS-37 A b,691,31.46517 Earths,12.341,2020
HATS-38 b,1121,23.51942 Earths,11.967,2020
HATS-39 b,2866,0.63 Jupiters,12.745,2018
HATS-3 b,1341,1.071 Jupiters,12.433,2013
HATS-40 b,4379,1.59 Jupiters,13.478,2018
HATS-41 b,2406,9.7 Jupiters,12.678,2018
HATS-42 b,2611,1.88 Jupiters,13.682,2018
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HATS-35 b,1678,1.222 Jupiters,12.609,2016
HATS-36 b,2794,3.216 Jupiters,14.364,2018
HATS-37 A b,691,31.46517 Earths,12.341,2020
HATS-38 b,1121,23.51942 Earths,11.967,2020
HATS-39 b,2866,0.63 Jupiters,12.745,2018
HATS-3 b,1341,1.071 Jupiters,12.433,2013
HATS-40 b,4379,1.59 Jupiters,13.478,2018
HATS-41 b,2406,9.7 Jupiters,12.678,2018
HATS-42 b,2611,1.88 Jupiters,13.682,2018
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HATS-35 b,1678,1.222 Jupiters,12.609,2016
HATS-36 b,2794,3.216 Jupiters,14.364,2018
HATS-37 A b,691,31.46517 Earths,12.341,2020
HATS-38 b,1121,23.51942 Earths,11.967,2020
HATS-39 b,2866,0.63 Jupiters,12.745,2018
HATS-3 b,1341,1.071 Jupiters,12.433,2013
HATS-40 b,4379,1.59 Jupiters,13.478,2018
HATS-41 b,2406,9.7 Jupiters,12.678,2018
HATS-42 b,2611,1.88 Jupiters,13.682,2018
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HATS-53 b,1911,0.595 Jupiters,13.944,2017
HATS-54 b,2442,0.76 Jupiters,13.937,2019
HATS-55 b,1989,0.921 Jupiters,13.525,2019
HATS-56 b,1841,0.602 Jupiters,11.477,2019
HATS-57 b,912,3.147 Jupiters,12.333,2019
HATS-58 A b,1317,1.03 Jupiters,11.572,2019
HATS-59 b,2097,0.806 Jupiters,14.033,2018
HATS-59 c,2097,12.7 Jupiters,14.033,2018
HATS-5 b,804,0.237 Jupiters,12.598,2014
HATS-60 b,1587,0.662 Jupiters,12.662,2018
HATS-53 b,1911,0.595 Jupiters,13.944,2017
HATS-54 b,2442,0.76 Jupiters,13.937,2019
HATS-55 b,1989,0.921 Jupiters,13.525,2019
HATS-56 b,1841,0.602 Jupiters,11.477,2019
HATS-57 b,912,3.147 Jupiters,12.333,2019
HATS-58 A b,1317,1.03 Jupiters,11.572,2019
HATS-59 b,2097,0.806 Jupiters,14.033,2018
HATS-59 c,2097,12.7 Jupiters,14.033,2018
HATS-5 b,804,0.237 Jupiters,12.598,2014
HATS-60 b,1587,0.662 Jupiters,12.662,2018
HATS-61 b,2217,3.4 Jupiters,13.352,2018
HATS-62 b,1706,0.179 Jupiters,14.171,2018
HATS-63 b,2033,0.96 Jupiters,13.992,2018
HATS-64 b,3523,0.96 Jupiters,13.045,2018
HATS-65 b,1609,0.821 Jupiters,12.679,2018
HATS-66 b,4821,5.33 Jupiters,14.283,2018
HATS-67 b,3132,1.45 Jupiters,13.698,2018
HATS-68 b,1970,1.29 Jupiters,12.312,2018
HATS-69 b,1352,0.577 Jupiters,14.074,2018
HATS-6 b,552,0.319 Jupiters,15.044,2015
HATS-61 b,2217,3.4 Jupiters,13.352,2018
HATS-62 b,1706,0.179 Jupiters,14.171,2018
HATS-63 b,2033,0.96 Jupiters,13.992,2018
HATS-64 b,3523,0.96 Jupiters,13.045,2018
HATS-65 b,1609,0.821 Jupiters,12.679,2018
HATS-66 b,4821,5.33 Jupiters,14.283,2018
HATS-67 b,3132,1.45 Jupiters,13.698,2018
HATS-68 b,1970,1.29 Jupiters,12.312,2018
HATS-69 b,1352,0.577 Jupiters,14.074,2018
HATS-6 b,552,0.319 Jupiters,15.044,2015
HATS-61 b,2217,3.4 Jupiters,13.352,2018
HATS-62 b,1706,0.179 Jupiters,14.171,2018
HATS-63 b,2033,0.96 Jupiters,13.992,2018
HATS-64 b,3523,0.96 Jupiters,13.045,2018
HATS-65 b,1609,0.821 Jupiters,12.679,2018
HATS-66 b,4821,5.33 Jupiters,14.283,2018
HATS-67 b,3132,1.45 Jupiters,13.698,2018
HATS-68 b,1970,1.29 Jupiters,12.312,2018
HATS-69 b,1352,0.577 Jupiters,14.074,2018
HATS-6 b,552,0.319 Jupiters,15.044,2015
HATS-70 b,4759,12.9 Jupiters,12.227,2019
HATS-71 b,457,0.37 Jupiters,16.437,2020
HATS-72 b,416,39.85588 Earths,12.324,2020
HATS-7 b,785,38.1396 Earths,13.347,2015
HATS-8 b,2592,0.138 Jupiters,14.512,2015
HATS-9 b,2083,0.837 Jupiters,13.256,2015
HD 100546 b,358,752 Jupiters,6.69,2014
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 100777 b,162,1.03 Jupiters,8.42,2007
HD 10180 c,127,13.1 Earths,7.33,2010
HATS-70 b,4759,12.9 Jupiters,12.227,2019
HATS-71 b,457,0.37 Jupiters,16.437,2020
